code_creditor,loan_purpose,rata_rata_income,Status_Pendapatan
L093,DEBTCONSOLIDATION,12588905,Tinggi
L092,DEBTCONSOLIDATION,12588905,Tinggi
L140,DEBTCONSOLIDATION,12588905,Tinggi
L027,DEBTCONSOLIDATION,12588905,Tinggi
L143,DEBTCONSOLIDATION,12588905,Tinggi
L090,DEBTCONSOLIDATION,12588905,Tinggi
L118,DEBTCONSOLIDATION,12588905,Tinggi
L146,DEBTCONSOLIDATION,12588905,Tinggi
L016,DEBTCONSOLIDATION,12588905,Tinggi
L084,DEBTCONSOLIDATION,12588905,Tinggi
L140,DEBTCONSOLIDATION,12588905,Tinggi
L030,DEBTCONSOLIDATION,12588905,Tinggi
L144,DEBTCONSOLIDATION,12588905,Tinggi
L122,DEBTCONSOLIDATION,12588905,Tinggi
L025,DEBTCONSOLIDATION,12588905,Tinggi
L009,DEBTCONSOLIDATION,12588905,Tinggi
L091,DEBTCONSOLIDATION,12588905,Tinggi
L130,DEBTCONSOLIDATION,12588905,Tinggi
L096,DEBTCONSOLIDATION,12588905,Tinggi
L063,DEBTCONSOLIDATION,12588905,Tinggi
L025,DEBTCONSOLIDATION,12588905,Tinggi
L099,DEBTCONSOLIDATION,12588905,Tinggi
L008,DEBTCONSOLIDATION,12588905,Tinggi
L130,DEBTCONSOLIDATION,12588905,Tinggi
L068,DEBTCONSOLIDATION,12588905,Tinggi
L001,DEBTCONSOLIDATION,12588905,Tinggi
L129,DEBTCONSOLIDATION,12588905,Tinggi
L111,DEBTCONSOLIDATION,12588905,Tinggi
L112,DEBTCONSOLIDATION,12588905,Tinggi
L010,DEBTCONSOLIDATION,12588905,Tinggi
L135,DEBTCONSOLIDATION,12588905,Tinggi
L026,DEBTCONSOLIDATION,12588905,Tinggi
L022,DEBTCONSOLIDATION,12588905,Tinggi
L141,DEBTCONSOLIDATION,12588905,Tinggi
L006,DEBTCONSOLIDATION,12588905,Tinggi
L022,DEBTCONSOLIDATION,12588905,Tinggi
L103,DEBTCONSOLIDATION,12588905,Tinggi
L148,DEBTCONSOLIDATION,12588905,Tinggi
L041,DEBTCONSOLIDATION,12588905,Tinggi
L086,DEBTCONSOLIDATION,12588905,Tinggi
L125,DEBTCONSOLIDATION,12588905,Tinggi
L059,DEBTCONSOLIDATION,12588905,Tinggi
L067,DEBTCONSOLIDATION,12588905,Tinggi
L057,DEBTCONSOLIDATION,12588905,Tinggi
L081,DEBTCONSOLIDATION,12588905,Tinggi
L047,DEBTCONSOLIDATION,12588905,Tinggi
L048,DEBTCONSOLIDATION,12588905,Tinggi
L021,DEBTCONSOLIDATION,12588905,Tinggi
L036,DEBTCONSOLIDATION,12588905,Tinggi
L071,DEBTCONSOLIDATION,12588905,Tinggi
L038,EDUCATION,13290791,Tinggi
L070,EDUCATION,13290791,Tinggi
L107,EDUCATION,13290791,Tinggi
L076,EDUCATION,13290791,Tinggi
L087,EDUCATION,13290791,Tinggi
L086,EDUCATION,13290791,Tinggi
L061,EDUCATION,13290791,Tinggi
L019,EDUCATION,13290791,Tinggi
L084,EDUCATION,13290791,Tinggi
L118,EDUCATION,13290791,Tinggi
L098,EDUCATION,13290791,Tinggi
L134,EDUCATION,13290791,Tinggi
L136,EDUCATION,13290791,Tinggi
L145,EDUCATION,13290791,Tinggi
L073,EDUCATION,13290791,Tinggi
L126,EDUCATION,13290791,Tinggi
L088,EDUCATION,13290791,Tinggi
L045,EDUCATION,13290791,Tinggi
L023,EDUCATION,13290791,Tinggi
L044,EDUCATION,13290791,Tinggi
L028,EDUCATION,13290791,Tinggi
L036,EDUCATION,13290791,Tinggi
L141,EDUCATION,13290791,Tinggi
L044,EDUCATION,13290791,Tinggi
L108,EDUCATION,13290791,Tinggi
L035,EDUCATION,13290791,Tinggi
L007,EDUCATION,13290791,Tinggi
L022,EDUCATION,13290791,Tinggi
L014,EDUCATION,13290791,Tinggi
L084,EDUCATION,13290791,Tinggi
L019,EDUCATION,13290791,Tinggi
L070,EDUCATION,13290791,Tinggi
L052,EDUCATION,13290791,Tinggi
L145,EDUCATION,13290791,Tinggi
L066,EDUCATION,13290791,Tinggi
L094,EDUCATION,13290791,Tinggi
L024,EDUCATION,13290791,Tinggi
L079,EDUCATION,13290791,Tinggi
L090,EDUCATION,13290791,Tinggi
L001,EDUCATION,13290791,Tinggi
L049,EDUCATION,13290791,Tinggi
L105,EDUCATION,13290791,Tinggi
L035,EDUCATION,13290791,Tinggi
L116,EDUCATION,13290791,Tinggi
L059,EDUCATION,13290791,Tinggi
L036,EDUCATION,13290791,Tinggi
L013,EDUCATION,13290791,Tinggi
L022,EDUCATION,13290791,Tinggi
L143,EDUCATION,13290791,Tinggi
L014,EDUCATION,13290791,Tinggi
L088,EDUCATION,13290791,Tinggi
L133,EDUCATION,13290791,Tinggi
L092,EDUCATION,13290791,Tinggi
L089,EDUCATION,13290791,Tinggi
L110,EDUCATION,13290791,Tinggi
L044,EDUCATION,13290791,Tinggi
L045,EDUCATION,13290791,Tinggi
L007,EDUCATION,13290791,Tinggi
L053,EDUCATION,13290791,Tinggi
L017,EDUCATION,13290791,Tinggi
L028,EDUCATION,13290791,Tinggi
L060,EDUCATION,13290791,Tinggi
L032,EDUCATION,13290791,Tinggi
L127,EDUCATION,13290791,Tinggi
L069,EDUCATION,13290791,Tinggi
L131,EDUCATION,13290791,Tinggi
L119,EDUCATION,13290791,Tinggi
L103,EDUCATION,13290791,Tinggi
L144,EDUCATION,13290791,Tinggi
L059,EDUCATION,13290791,Tinggi
L104,EDUCATION,13290791,Tinggi
L142,EDUCATION,13290791,Tinggi
L057,EDUCATION,13290791,Tinggi
L080,EDUCATION,13290791,Tinggi
L099,EDUCATION,13290791,Tinggi
L125,EDUCATION,13290791,Tinggi
L049,EDUCATION,13290791,Tinggi
L081,EDUCATION,13290791,Tinggi
L032,EDUCATION,13290791,Tinggi
L041,EDUCATION,13290791,Tinggi
L137,EDUCATION,13290791,Tinggi
L070,EDUCATION,13290791,Tinggi
L149,EDUCATION,13290791,Tinggi
L107,EDUCATION,13290791,Tinggi
L094,EDUCATION,13290791,Tinggi
L051,EDUCATION,13290791,Tinggi
L146,EDUCATION,13290791,Tinggi
L144,EDUCATION,13290791,Tinggi
L103,EDUCATION,13290791,Tinggi
L052,EDUCATION,13290791,Tinggi
L122,EDUCATION,13290791,Tinggi
L050,EDUCATION,13290791,Tinggi
L120,EDUCATION,13290791,Tinggi
L115,EDUCATION,13290791,Tinggi
L024,EDUCATION,13290791,Tinggi
L089,EDUCATION,13290791,Tinggi
L092,EDUCATION,13290791,Tinggi
L010,EDUCATION,13290791,Tinggi
L134,EDUCATION,13290791,Tinggi
L133,EDUCATION,13290791,Tinggi
L025,EDUCATION,13290791,Tinggi
L038,EDUCATION,13290791,Tinggi
L077,EDUCATION,13290791,Tinggi
L035,EDUCATION,13290791,Tinggi
L011,EDUCATION,13290791,Tinggi
L141,EDUCATION,13290791,Tinggi
L104,EDUCATION,13290791,Tinggi
L137,EDUCATION,13290791,Tinggi
L125,EDUCATION,13290791,Tinggi
L022,EDUCATION,13290791,Tinggi
L148,EDUCATION,13290791,Tinggi
L022,EDUCATION,13290791,Tinggi
L073,EDUCATION,13290791,Tinggi
L056,EDUCATION,13290791,Tinggi
L032,EDUCATION,13290791,Tinggi
L005,EDUCATION,13290791,Tinggi
L007,EDUCATION,13290791,Tinggi
L017,EDUCATION,13290791,Tinggi
L036,EDUCATION,13290791,Tinggi
L118,EDUCATION,13290791,Tinggi
L110,EDUCATION,13290791,Tinggi
L121,EDUCATION,13290791,Tinggi
L032,EDUCATION,13290791,Tinggi
L126,EDUCATION,13290791,Tinggi
L007,EDUCATION,13290791,Tinggi
L035,EDUCATION,13290791,Tinggi
L087,EDUCATION,13290791,Tinggi
L051,EDUCATION,13290791,Tinggi
L098,EDUCATION,13290791,Tinggi
L010,EDUCATION,13290791,Tinggi
L053,EDUCATION,13290791,Tinggi
L084,EDUCATION,13290791,Tinggi
L135,EDUCATION,13290791,Tinggi
L059,EDUCATION,13290791,Tinggi
L057,EDUCATION,13290791,Tinggi
L146,EDUCATION,13290791,Tinggi
L053,EDUCATION,13290791,Tinggi
L092,EDUCATION,13290791,Tinggi
L080,EDUCATION,13290791,Tinggi
L073,EDUCATION,13290791,Tinggi
L038,EDUCATION,13290791,Tinggi
L121,EDUCATION,13290791,Tinggi
L094,EDUCATION,13290791,Tinggi
L109,EDUCATION,13290791,Tinggi
L071,EDUCATION,13290791,Tinggi
L016,EDUCATION,13290791,Tinggi
L120,EDUCATION,13290791,Tinggi
L075,EDUCATION,13290791,Tinggi
L064,EDUCATION,13290791,Tinggi
L148,EDUCATION,13290791,Tinggi
L110,EDUCATION,13290791,Tinggi
L129,EDUCATION,13290791,Tinggi
L014,EDUCATION,13290791,Tinggi
L121,EDUCATION,13290791,Tinggi
L066,EDUCATION,13290791,Tinggi
L010,EDUCATION,13290791,Tinggi
L065,EDUCATION,13290791,Tinggi
L082,EDUCATION,13290791,Tinggi
L101,EDUCATION,13290791,Tinggi
L132,EDUCATION,13290791,Tinggi
L133,EDUCATION,13290791,Tinggi
L067,EDUCATION,13290791,Tinggi
L041,EDUCATION,13290791,Tinggi
L124,EDUCATION,13290791,Tinggi
L007,EDUCATION,13290791,Tinggi
L024,EDUCATION,13290791,Tinggi
L123,EDUCATION,13290791,Tinggi
L118,EDUCATION,13290791,Tinggi
L035,EDUCATION,13290791,Tinggi
L052,EDUCATION,13290791,Tinggi
L036,EDUCATION,13290791,Tinggi
L128,EDUCATION,13290791,Tinggi
L013,EDUCATION,13290791,Tinggi
L059,EDUCATION,13290791,Tinggi
L093,EDUCATION,13290791,Tinggi
L008,EDUCATION,13290791,Tinggi
L119,EDUCATION,13290791,Tinggi
L031,EDUCATION,13290791,Tinggi
L085,EDUCATION,13290791,Tinggi
L054,EDUCATION,13290791,Tinggi
L010,EDUCATION,13290791,Tinggi
L083,EDUCATION,13290791,Tinggi
L070,EDUCATION,13290791,Tinggi
L049,EDUCATION,13290791,Tinggi
L029,EDUCATION,13290791,Tinggi
L049,EDUCATION,13290791,Tinggi
L132,EDUCATION,13290791,Tinggi
L065,EDUCATION,13290791,Tinggi
L021,EDUCATION,13290791,Tinggi
L104,EDUCATION,13290791,Tinggi
L033,EDUCATION,13290791,Tinggi
L023,EDUCATION,13290791,Tinggi
L107,EDUCATION,13290791,Tinggi
L030,EDUCATION,13290791,Tinggi
L130,EDUCATION,13290791,Tinggi
L047,EDUCATION,13290791,Tinggi
L054,EDUCATION,13290791,Tinggi
L008,EDUCATION,13290791,Tinggi
L102,EDUCATION,13290791,Tinggi
L150,EDUCATION,13290791,Tinggi
L091,EDUCATION,13290791,Tinggi
L092,EDUCATION,13290791,Tinggi
L038,EDUCATION,13290791,Tinggi
L138,EDUCATION,13290791,Tinggi
L014,EDUCATION,13290791,Tinggi
L003,EDUCATION,13290791,Tinggi
L085,EDUCATION,13290791,Tinggi
L112,EDUCATION,13290791,Tinggi
L101,EDUCATION,13290791,Tinggi
L068,EDUCATION,13290791,Tinggi
L117,EDUCATION,13290791,Tinggi
L078,EDUCATION,13290791,Tinggi
L127,EDUCATION,13290791,Tinggi
L130,EDUCATION,13290791,Tinggi
L101,EDUCATION,13290791,Tinggi
L045,EDUCATION,13290791,Tinggi
L080,EDUCATION,13290791,Tinggi
L082,EDUCATION,13290791,Tinggi
L049,EDUCATION,13290791,Tinggi
L048,EDUCATION,13290791,Tinggi
L103,EDUCATION,13290791,Tinggi
L132,EDUCATION,13290791,Tinggi
L120,HOMEIMPROVEMENT,14348853,Tinggi
L042,HOMEIMPROVEMENT,14348853,Tinggi
L140,HOMEIMPROVEMENT,14348853,Tinggi
L065,HOMEIMPROVEMENT,14348853,Tinggi
L066,HOMEIMPROVEMENT,14348853,Tinggi
L042,HOMEIMPROVEMENT,14348853,Tinggi
L043,HOMEIMPROVEMENT,14348853,Tinggi
L013,HOMEIMPROVEMENT,14348853,Tinggi
L098,HOMEIMPROVEMENT,14348853,Tinggi
L130,HOMEIMPROVEMENT,14348853,Tinggi
L094,HOMEIMPROVEMENT,14348853,Tinggi
L106,HOMEIMPROVEMENT,14348853,Tinggi
L087,HOMEIMPROVEMENT,14348853,Tinggi
L056,HOMEIMPROVEMENT,14348853,Tinggi
L139,HOMEIMPROVEMENT,14348853,Tinggi
L101,HOMEIMPROVEMENT,14348853,Tinggi
L141,HOMEIMPROVEMENT,14348853,Tinggi
L071,HOMEIMPROVEMENT,14348853,Tinggi
L132,HOMEIMPROVEMENT,14348853,Tinggi
L084,HOMEIMPROVEMENT,14348853,Tinggi
L150,HOMEIMPROVEMENT,14348853,Tinggi
L026,HOMEIMPROVEMENT,14348853,Tinggi
L072,HOMEIMPROVEMENT,14348853,Tinggi
L102,HOMEIMPROVEMENT,14348853,Tinggi
L056,HOMEIMPROVEMENT,14348853,Tinggi
L054,HOMEIMPROVEMENT,14348853,Tinggi
L068,HOMEIMPROVEMENT,14348853,Tinggi
L011,HOMEIMPROVEMENT,14348853,Tinggi
L035,HOMEIMPROVEMENT,14348853,Tinggi
L080,HOMEIMPROVEMENT,14348853,Tinggi
L018,HOMEIMPROVEMENT,14348853,Tinggi
L068,HOMEIMPROVEMENT,14348853,Tinggi
L011,HOMEIMPROVEMENT,14348853,Tinggi
L074,HOMEIMPROVEMENT,14348853,Tinggi
L051,HOMEIMPROVEMENT,14348853,Tinggi
L058,HOMEIMPROVEMENT,14348853,Tinggi
L129,HOMEIMPROVEMENT,14348853,Tinggi
L141,HOMEIMPROVEMENT,14348853,Tinggi
L012,HOMEIMPROVEMENT,14348853,Tinggi
L107,HOMEIMPROVEMENT,14348853,Tinggi
L068,HOMEIMPROVEMENT,14348853,Tinggi
L007,HOMEIMPROVEMENT,14348853,Tinggi
L145,HOMEIMPROVEMENT,14348853,Tinggi
L096,HOMEIMPROVEMENT,14348853,Tinggi
L025,HOMEIMPROVEMENT,14348853,Tinggi
L036,HOMEIMPROVEMENT,14348853,Tinggi
L018,HOMEIMPROVEMENT,14348853,Tinggi
L146,HOMEIMPROVEMENT,14348853,Tinggi
L023,HOMEIMPROVEMENT,14348853,Tinggi
L122,HOMEIMPROVEMENT,14348853,Tinggi
L075,HOMEIMPROVEMENT,14348853,Tinggi
L118,HOMEIMPROVEMENT,14348853,Tinggi
L077,HOMEIMPROVEMENT,14348853,Tinggi
L091,HOMEIMPROVEMENT,14348853,Tinggi
L056,HOMEIMPROVEMENT,14348853,Tinggi
L117,HOMEIMPROVEMENT,14348853,Tinggi
L029,HOMEIMPROVEMENT,14348853,Tinggi
L115,HOMEIMPROVEMENT,14348853,Tinggi
L072,HOMEIMPROVEMENT,14348853,Tinggi
L072,HOMEIMPROVEMENT,14348853,Tinggi
L145,HOMEIMPROVEMENT,14348853,Tinggi
L130,HOMEIMPROVEMENT,14348853,Tinggi
L149,HOMEIMPROVEMENT,14348853,Tinggi
L085,HOMEIMPROVEMENT,14348853,Tinggi
L140,HOMEIMPROVEMENT,14348853,Tinggi
L054,HOMEIMPROVEMENT,14348853,Tinggi
L117,HOMEIMPROVEMENT,14348853,Tinggi
L047,HOMEIMPROVEMENT,14348853,Tinggi
L089,HOMEIMPROVEMENT,14348853,Tinggi
L082,HOMEIMPROVEMENT,14348853,Tinggi
L032,HOMEIMPROVEMENT,14348853,Tinggi
L086,HOMEIMPROVEMENT,14348853,Tinggi
L015,HOMEIMPROVEMENT,14348853,Tinggi
L020,HOMEIMPROVEMENT,14348853,Tinggi
L056,HOMEIMPROVEMENT,14348853,Tinggi
L035,HOMEIMPROVEMENT,14348853,Tinggi
L046,HOMEIMPROVEMENT,14348853,Tinggi
L106,HOMEIMPROVEMENT,14348853,Tinggi
L108,HOMEIMPROVEMENT,14348853,Tinggi
L064,HOMEIMPROVEMENT,14348853,Tinggi
L040,HOMEIMPROVEMENT,14348853,Tinggi
L128,HOMEIMPROVEMENT,14348853,Tinggi
L123,HOMEIMPROVEMENT,14348853,Tinggi
L011,HOMEIMPROVEMENT,14348853,Tinggi
L023,HOMEIMPROVEMENT,14348853,Tinggi
L144,HOMEIMPROVEMENT,14348853,Tinggi
L150,HOMEIMPROVEMENT,14348853,Tinggi
L143,HOMEIMPROVEMENT,14348853,Tinggi
L075,HOMEIMPROVEMENT,14348853,Tinggi
L035,HOMEIMPROVEMENT,14348853,Tinggi
L063,HOMEIMPROVEMENT,14348853,Tinggi
L100,HOMEIMPROVEMENT,14348853,Tinggi
L026,HOMEIMPROVEMENT,14348853,Tinggi
L045,HOMEIMPROVEMENT,14348853,Tinggi
L128,HOMEIMPROVEMENT,14348853,Tinggi
L113,HOMEIMPROVEMENT,14348853,Tinggi
L019,HOMEIMPROVEMENT,14348853,Tinggi
L072,HOMEIMPROVEMENT,14348853,Tinggi
L085,HOMEIMPROVEMENT,14348853,Tinggi
L023,HOMEIMPROVEMENT,14348853,Tinggi
L036,HOMEIMPROVEMENT,14348853,Tinggi
L027,HOMEIMPROVEMENT,14348853,Tinggi
L060,HOMEIMPROVEMENT,14348853,Tinggi
L109,HOMEIMPROVEMENT,14348853,Tinggi
L072,HOMEIMPROVEMENT,14348853,Tinggi
L111,MEDICAL,11788256,Tinggi
L117,MEDICAL,11788256,Tinggi
L103,MEDICAL,11788256,Tinggi
L012,MEDICAL,11788256,Tinggi
L104,MEDICAL,11788256,Tinggi
L027,MEDICAL,11788256,Tinggi
L023,MEDICAL,11788256,Tinggi
L139,MEDICAL,11788256,Tinggi
L140,MEDICAL,11788256,Tinggi
L014,MEDICAL,11788256,Tinggi
L045,MEDICAL,11788256,Tinggi
L113,MEDICAL,11788256,Tinggi
L069,MEDICAL,11788256,Tinggi
L070,MEDICAL,11788256,Tinggi
L098,MEDICAL,11788256,Tinggi
L128,MEDICAL,11788256,Tinggi
L104,MEDICAL,11788256,Tinggi
L052,MEDICAL,11788256,Tinggi
L009,MEDICAL,11788256,Tinggi
L139,MEDICAL,11788256,Tinggi
L087,MEDICAL,11788256,Tinggi
L108,MEDICAL,11788256,Tinggi
L056,MEDICAL,11788256,Tinggi
L103,MEDICAL,11788256,Tinggi
L140,MEDICAL,11788256,Tinggi
L030,MEDICAL,11788256,Tinggi
L132,MEDICAL,11788256,Tinggi
L001,MEDICAL,11788256,Tinggi
L143,MEDICAL,11788256,Tinggi
L099,MEDICAL,11788256,Tinggi
L056,MEDICAL,11788256,Tinggi
L069,MEDICAL,11788256,Tinggi
L034,MEDICAL,11788256,Tinggi
L006,MEDICAL,11788256,Tinggi
L069,MEDICAL,11788256,Tinggi
L082,MEDICAL,11788256,Tinggi
L058,MEDICAL,11788256,Tinggi
L143,MEDICAL,11788256,Tinggi
L021,MEDICAL,11788256,Tinggi
L148,MEDICAL,11788256,Tinggi
L138,MEDICAL,11788256,Tinggi
L041,MEDICAL,11788256,Tinggi
L150,MEDICAL,11788256,Tinggi
L133,MEDICAL,11788256,Tinggi
L004,MEDICAL,11788256,Tinggi
L007,MEDICAL,11788256,Tinggi
L076,MEDICAL,11788256,Tinggi
L079,MEDICAL,11788256,Tinggi
L065,MEDICAL,11788256,Tinggi
L070,MEDICAL,11788256,Tinggi
L139,MEDICAL,11788256,Tinggi
L054,MEDICAL,11788256,Tinggi
L049,MEDICAL,11788256,Tinggi
L087,MEDICAL,11788256,Tinggi
L147,MEDICAL,11788256,Tinggi
L034,MEDICAL,11788256,Tinggi
L057,MEDICAL,11788256,Tinggi
L039,MEDICAL,11788256,Tinggi
L127,MEDICAL,11788256,Tinggi
L034,MEDICAL,11788256,Tinggi
L037,MEDICAL,11788256,Tinggi
L128,MEDICAL,11788256,Tinggi
L134,MEDICAL,11788256,Tinggi
L144,MEDICAL,11788256,Tinggi
L008,MEDICAL,11788256,Tinggi
L116,MEDICAL,11788256,Tinggi
L007,MEDICAL,11788256,Tinggi
L033,MEDICAL,11788256,Tinggi
L074,MEDICAL,11788256,Tinggi
L007,MEDICAL,11788256,Tinggi
L102,MEDICAL,11788256,Tinggi
L007,MEDICAL,11788256,Tinggi
L076,MEDICAL,11788256,Tinggi
L032,MEDICAL,11788256,Tinggi
L087,MEDICAL,11788256,Tinggi
L123,MEDICAL,11788256,Tinggi
L079,MEDICAL,11788256,Tinggi
L062,MEDICAL,11788256,Tinggi
L123,MEDICAL,11788256,Tinggi
L069,MEDICAL,11788256,Tinggi
L123,MEDICAL,11788256,Tinggi
L085,MEDICAL,11788256,Tinggi
L025,MEDICAL,11788256,Tinggi
L138,MEDICAL,11788256,Tinggi
L042,MEDICAL,11788256,Tinggi
L108,MEDICAL,11788256,Tinggi
L096,MEDICAL,11788256,Tinggi
L077,MEDICAL,11788256,Tinggi
L109,MEDICAL,11788256,Tinggi
L038,MEDICAL,11788256,Tinggi
L112,MEDICAL,11788256,Tinggi
L046,MEDICAL,11788256,Tinggi
L129,MEDICAL,11788256,Tinggi
L081,MEDICAL,11788256,Tinggi
L042,MEDICAL,11788256,Tinggi
L067,MEDICAL,11788256,Tinggi
L106,MEDICAL,11788256,Tinggi
L011,MEDICAL,11788256,Tinggi
L046,MEDICAL,11788256,Tinggi
L121,MEDICAL,11788256,Tinggi
L048,MEDICAL,11788256,Tinggi
L112,MEDICAL,11788256,Tinggi
L057,MEDICAL,11788256,Tinggi
L007,MEDICAL,11788256,Tinggi
L038,MEDICAL,11788256,Tinggi
L072,MEDICAL,11788256,Tinggi
L043,MEDICAL,11788256,Tinggi
L018,MEDICAL,11788256,Tinggi
L005,MEDICAL,11788256,Tinggi
L006,MEDICAL,11788256,Tinggi
L147,MEDICAL,11788256,Tinggi
L105,MEDICAL,11788256,Tinggi
L109,MEDICAL,11788256,Tinggi
L146,MEDICAL,11788256,Tinggi
L003,MEDICAL,11788256,Tinggi
L035,MEDICAL,11788256,Tinggi
L108,MEDICAL,11788256,Tinggi
L101,MEDICAL,11788256,Tinggi
L049,MEDICAL,11788256,Tinggi
