code_creditor,person_age,loan_rate,nominal_loan,default_before,loan_purpose
L034,25,13.49,25000000,N,MEDICAL
L123,24,13.49,12000000,N,HOMEIMPROVEMENT
L034,25,13.49,23600000,N,DEBTCONSOLIDATION
L124,24,13.49,21600000,N,VENTURE
L071,22,13.49,20000000,N,DEBTCONSOLIDATION
L127,26,13.49,18000000,N,EDUCATION
L086,22,13.49,17750000,N,DEBTCONSOLIDATION
L127,24,13.48,20000000,N,EDUCATION
L051,24,13.48,18000000,N,EDUCATION
L148,23,13.47,3600000,N,PERSONAL
L146,23,13.47,23750000,N,MEDICAL
L010,25,13.47,20000000,N,EDUCATION
L070,22,13.47,20000000,N,EDUCATION
L023,24,13.47,17000000,N,MEDICAL
L028,25,13.43,20000000,N,EDUCATION
L035,24,13.35,25000000,N,EDUCATION
L008,21,13.35,3000000,N,DEBTCONSOLIDATION
L084,24,13.35,18250000,N,VENTURE
L008,23,13.23,6000000,N,PERSONAL
L116,23,13.22,25000000,N,PERSONAL
L089,22,13.22,20000000,N,DEBTCONSOLIDATION
L072,23,13.22,20000000,N,DEBTCONSOLIDATION
L119,23,13.22,20000000,N,PERSONAL
L091,26,13.16,20000000,N,DEBTCONSOLIDATION
L024,22,13.16,18400000,N,PERSONAL
L133,23,13.16,18000000,N,EDUCATION
L045,22,13.16,5500000,N,MEDICAL
L052,25,13.11,25000000,N,MEDICAL
L106,25,13.11,22000000,N,HOMEIMPROVEMENT
L070,25,13.11,20000000,N,MEDICAL
L104,22,13.11,20000000,N,DEBTCONSOLIDATION
L050,26,13.11,18000000,N,EDUCATION
L143,26,13.11,2100000,N,PERSONAL
L067,24,13.06,20000000,N,VENTURE
L122,25,13.06,20000000,N,HOMEIMPROVEMENT
L144,24,13.04,20000000,N,MEDICAL
L138,23,13.04,20000000,N,MEDICAL
L143,22,12.99,20000000,N,PERSONAL
L148,21,12.98,4500000,N,VENTURE
L075,25,12.98,18000000,N,VENTURE
L019,23,12.92,24000000,N,PERSONAL
L111,25,12.87,5500000,N,MEDICAL
L073,26,12.87,25000000,N,DEBTCONSOLIDATION
L139,22,12.87,17000000,N,MEDICAL
L027,23,12.84,5600000,N,MEDICAL
L146,25,12.84,18000000,N,EDUCATION
L126,23,12.73,25000000,N,PERSONAL
L012,25,12.73,25000000,N,MEDICAL
L024,26,12.73,24000000,N,PERSONAL
L087,24,12.69,2500000,N,VENTURE
L103,22,12.69,30000000,N,MEDICAL
L105,25,12.69,28000000,N,DEBTCONSOLIDATION
L121,23,12.69,25600000,N,EDUCATION
L029,24,12.69,12000000,N,MEDICAL
L100,25,12.69,25000000,N,HOMEIMPROVEMENT
L079,22,12.69,24000000,N,EDUCATION
L017,24,12.69,24000000,N,VENTURE
L015,23,12.69,22250000,N,DEBTCONSOLIDATION
L045,26,12.69,22000000,N,VENTURE
L085,23,12.69,20900000,N,PERSONAL
L058,24,12.69,20000000,N,HOMEIMPROVEMENT
L028,23,12.69,5000000,N,EDUCATION
L101,24,12.68,33000000,N,HOMEIMPROVEMENT
L005,23,12.68,6000000,N,VENTURE
L006,23,12.61,20000000,N,DEBTCONSOLIDATION
L058,25,12.53,10000000,N,MEDICAL
L048,26,12.53,12000000,N,DEBTCONSOLIDATION
L036,22,12.53,2500000,N,HOMEIMPROVEMENT
L053,25,12.53,20000000,N,EDUCATION
L091,26,12.53,25000000,N,DEBTCONSOLIDATION
L140,24,12.53,24250000,N,VENTURE
L038,23,12.53,24250000,N,EDUCATION
L114,21,12.53,21000000,N,VENTURE
L075,24,12.53,20000000,N,MEDICAL
L083,24,12.53,20000000,N,PERSONAL
L107,22,12.53,20000000,N,EDUCATION
L103,23,12.53,20000000,N,DEBTCONSOLIDATION
L117,23,12.53,4400000,N,EDUCATION
L139,26,12.53,20000000,N,PERSONAL
L073,24,12.53,1000000,N,EDUCATION
L056,21,12.53,17500000,N,MEDICAL
L014,25,12.53,17500000,N,EDUCATION
L059,26,12.42,35000000,N,EDUCATION
L026,26,12.42,13000000,N,VENTURE
L105,22,12.42,2000000,N,PERSONAL
L140,22,12.42,21250000,N,DEBTCONSOLIDATION
L058,25,12.42,20000000,N,MEDICAL
L059,26,12.42,5200000,N,EDUCATION
L054,23,12.42,20000000,N,EDUCATION
L052,24,12.42,7100000,N,VENTURE
L062,24,12.42,18000000,N,MEDICAL
L007,23,12.29,20000000,N,EDUCATION
L041,21,12.29,700000,N,EDUCATION
L048,22,12.23,25000000,N,VENTURE
L029,24,12.21,20000000,N,VENTURE
L148,23,12.21,20000000,N,EDUCATION
L083,24,12.21,6000000,N,PERSONAL
L059,22,12.21,20000000,N,PERSONAL
L066,21,12.21,2400000,N,EDUCATION
L054,25,12.21,18000000,N,VENTURE
L150,22,12.21,5000000,N,MEDICAL
L090,23,12.21,1500000,N,EDUCATION
L056,26,12.18,21600000,N,HOMEIMPROVEMENT
L143,26,12.18,20000000,N,VENTURE
L081,24,12.18,10000000,N,DEBTCONSOLIDATION
L025,23,12.18,23000000,N,VENTURE
L138,26,12.18,20000000,N,EDUCATION
L018,24,12.18,20000000,N,HOMEIMPROVEMENT
L125,22,12.18,20000000,N,EDUCATION
L034,22,12.18,19000000,N,VENTURE
L096,24,12.18,18000000,N,VENTURE
L048,24,12.18,18000000,N,DEBTCONSOLIDATION
L014,25,11.99,15500000,N,DEBTCONSOLIDATION
L102,24,11.99,14000000,N,VENTURE
L132,23,11.99,21000000,N,PERSONAL
L130,24,11.99,23000000,N,HOMEIMPROVEMENT
L094,24,11.99,3000000,N,HOMEIMPROVEMENT
L054,25,11.99,21700000,N,PERSONAL
L103,25,11.99,3000000,N,EDUCATION
L067,23,11.99,21000000,N,MEDICAL
L057,26,11.99,20000000,N,DEBTCONSOLIDATION
L076,25,11.99,19000000,N,MEDICAL
L134,24,11.99,17400000,N,PERSONAL
L074,24,11.89,23600000,N,PERSONAL
L110,23,11.89,18000000,N,EDUCATION
L063,22,11.89,1800000,N,VENTURE
L086,26,11.86,25000000,N,DEBTCONSOLIDATION
L136,19,11.86,6000000,N,EDUCATION
L141,24,11.86,25000000,N,EDUCATION
L117,25,11.86,25000000,N,VENTURE
L002,21,11.86,1500000,N,PERSONAL
L007,21,11.86,7000000,N,MEDICAL
L010,24,11.83,4500000,N,DEBTCONSOLIDATION
L021,22,11.83,25000000,N,PERSONAL
L074,23,11.83,25000000,N,VENTURE
L081,26,11.83,22000000,N,PERSONAL
L054,23,11.83,24000000,N,PERSONAL
L143,23,11.83,2500000,N,EDUCATION
L092,23,11.83,24250000,N,EDUCATION
L056,23,11.83,20000000,N,VENTURE
L007,24,11.83,20000000,N,MEDICAL
L021,22,11.83,20000000,N,EDUCATION
L029,26,11.83,20000000,N,HOMEIMPROVEMENT
L022,25,11.83,19900000,N,MEDICAL
L140,22,11.83,18550000,N,DEBTCONSOLIDATION
L137,26,11.83,18000000,N,DEBTCONSOLIDATION
L101,26,11.83,18000000,N,VENTURE
L099,21,11.83,4500000,N,MEDICAL
L138,23,11.71,26000000,N,MEDICAL
L032,26,11.71,10000000,N,VENTURE
L064,23,11.71,22000000,N,DEBTCONSOLIDATION
L149,22,11.71,4950000,N,PERSONAL
L008,23,11.71,5000000,N,PERSONAL
L102,23,11.71,20000000,N,MEDICAL
L150,22,11.71,7000000,N,EDUCATION
L138,22,11.71,2400000,N,MEDICAL
L118,22,11.71,7125000,N,HOMEIMPROVEMENT
L113,22,11.71,18200000,N,DEBTCONSOLIDATION
L044,25,11.71,18000000,N,EDUCATION
L040,25,11.71,17500000,N,HOMEIMPROVEMENT
L045,24,11.71,17400000,N,EDUCATION
L062,24,11.66,20000000,N,MEDICAL
L041,22,11.58,12000000,N,VENTURE
L130,24,11.58,25000000,N,EDUCATION
L144,26,11.58,25000000,N,HOMEIMPROVEMENT
L038,23,11.58,20000000,N,EDUCATION
L100,23,11.58,24000000,N,VENTURE
L053,26,11.58,24000000,N,PERSONAL
L007,23,11.58,20000000,N,VENTURE
L084,23,11.58,17000000,N,DEBTCONSOLIDATION
L072,26,11.49,20000000,N,HOMEIMPROVEMENT
L147,24,11.49,20000000,N,MEDICAL
L015,23,11.49,25000000,N,VENTURE
L094,24,11.49,24000000,N,DEBTCONSOLIDATION
L147,21,11.49,2400000,N,MEDICAL
L140,23,11.49,20000000,N,VENTURE
L055,22,11.49,3000000,N,DEBTCONSOLIDATION
L127,23,11.49,20000000,N,MEDICAL
L137,26,11.49,20000000,N,MEDICAL
L118,24,11.49,18250000,N,PERSONAL
L008,22,11.49,17700000,N,DEBTCONSOLIDATION
L126,26,11.48,20000000,N,VENTURE
L023,25,11.48,12000000,N,EDUCATION
L099,24,11.48,21000000,N,EDUCATION
L029,25,11.48,22000000,N,PERSONAL
L072,25,11.48,20000000,N,HOMEIMPROVEMENT
L022,25,11.48,20000000,N,VENTURE
L112,26,11.48,19800000,N,MEDICAL
L080,24,11.48,19000000,N,PERSONAL
L074,24,11.46,24500000,N,MEDICAL
L046,26,11.41,500000,N,MEDICAL
L045,23,11.36,25000000,N,EDUCATION
L087,22,11.36,25000000,N,MEDICAL
L039,23,11.36,25000000,N,MEDICAL
L058,23,11.36,25000000,N,DEBTCONSOLIDATION
L064,25,11.36,25000000,N,EDUCATION
L140,25,11.36,24250000,N,HOMEIMPROVEMENT
L019,22,11.36,1000000,N,VENTURE
L118,21,11.36,2500000,N,PERSONAL
L007,22,11.36,22750000,N,MEDICAL
L033,22,11.36,22000000,N,EDUCATION
L077,23,11.36,21000000,N,MEDICAL
L060,22,11.36,20000000,N,VENTURE
L038,25,11.36,20000000,N,EDUCATION
L077,24,11.36,4750000,N,HOMEIMPROVEMENT
L046,26,11.36,20000000,N,VENTURE
L038,25,11.26,9950000,N,VENTURE
L150,22,11.26,21600000,N,DEBTCONSOLIDATION
L098,23,11.26,18500000,N,EDUCATION
L087,23,11.26,8000000,N,EDUCATION
L145,21,11.14,1000000,N,EDUCATION
L021,22,11.14,2100000,N,PERSONAL
L043,22,11.14,14000000,N,PERSONAL
L064,25,11.14,15000000,N,VENTURE
L130,24,11.14,20000000,N,PERSONAL
L128,23,11.14,20000000,N,MEDICAL
L047,21,11.14,10000000,N,DEBTCONSOLIDATION
L131,23,11.14,19000000,N,PERSONAL
L104,21,11.12,2000000,N,MEDICAL
L045,24,11.12,25000000,N,EDUCATION
L027,24,11.12,1800000,N,HOMEIMPROVEMENT
L013,23,11.12,20000000,N,PERSONAL
L068,24,11.12,20000000,N,HOMEIMPROVEMENT
L104,24,11.11,35000000,N,MEDICAL
L077,23,11.11,28000000,N,DEBTCONSOLIDATION
L107,22,11.11,25000000,N,EDUCATION
L103,24,11.11,25000000,N,PERSONAL
L133,25,11.11,10000000,N,MEDICAL
L072,25,11.11,20000000,N,MEDICAL
L107,23,11.11,20000000,N,MEDICAL
L092,23,11.11,20000000,N,PERSONAL
L143,23,11.11,20000000,N,VENTURE
L123,23,11.11,2000000,N,VENTURE
L003,23,11.11,1375000,N,MEDICAL
L038,23,11.11,17000000,N,PERSONAL
L043,25,11.03,25000000,N,PERSONAL
L017,24,10.99,1750000,N,EDUCATION
L107,26,10.99,28000000,N,HOMEIMPROVEMENT
L141,22,10.99,25475000,N,VENTURE
L024,23,10.99,25300000,N,EDUCATION
L070,21,10.99,25000000,N,EDUCATION
L119,24,10.99,25000000,N,PERSONAL
L061,21,10.99,25000000,N,EDUCATION
L150,24,10.99,25000000,N,VENTURE
L140,22,10.99,4000000,N,MEDICAL
L025,25,10.99,25000000,N,MEDICAL
L101,26,10.99,25000000,N,PERSONAL
L112,23,10.99,4600000,N,VENTURE
L040,25,10.99,25000000,N,MEDICAL
L134,25,10.99,24000000,N,PERSONAL
L132,24,10.99,24000000,N,EDUCATION
L012,23,10.99,24000000,N,DEBTCONSOLIDATION
L149,25,10.99,24000000,N,PERSONAL
L107,26,10.99,24000000,N,DEBTCONSOLIDATION
L031,25,10.99,21250000,N,VENTURE
L086,24,10.99,20000000,N,DEBTCONSOLIDATION
L085,25,10.99,20000000,N,VENTURE
L063,24,10.99,20000000,N,PERSONAL
L140,24,10.99,5500000,N,DEBTCONSOLIDATION
L002,22,10.99,20000000,N,DEBTCONSOLIDATION
L104,23,10.99,20000000,N,EDUCATION
L130,25,10.99,19000000,N,HOMEIMPROVEMENT
L018,23,10.99,19000000,N,MEDICAL
L011,24,10.99,18200000,N,EDUCATION
L134,22,10.99,5000000,N,DEBTCONSOLIDATION
L089,25,10.99,18000000,N,HOMEIMPROVEMENT
L081,23,10.99,18000000,N,EDUCATION
L032,22,10.99,18000000,N,EDUCATION
L035,26,10.99,6000000,N,HOMEIMPROVEMENT
L128,26,10.96,7500000,N,VENTURE
L070,25,10.95,5000000,N,MEDICAL
L084,21,10.91,18500000,N,EDUCATION
L001,21,10.91,17950000,N,EDUCATION
L129,23,10.83,20000000,N,DEBTCONSOLIDATION
L090,26,10.75,25000000,N,PERSONAL
L108,21,10.75,24000000,N,MEDICAL
L069,24,10.75,21000000,N,MEDICAL
L035,26,10.75,20000000,N,EDUCATION
L138,23,10.75,18250000,N,PERSONAL
L093,23,10.74,25000000,N,VENTURE
L148,25,10.74,25000000,N,MEDICAL
L033,25,10.74,22000000,N,PERSONAL
L010,26,10.74,20000000,N,DEBTCONSOLIDATION
L067,23,10.74,18225000,N,VENTURE
L052,22,10.74,17600000,N,EDUCATION
L059,22,10.71,21000000,N,PERSONAL
L138,24,10.71,18500000,N,MEDICAL
L131,22,10.71,18000000,N,DEBTCONSOLIDATION
L043,23,10.65,30000000,N,DEBTCONSOLIDATION
L093,23,10.65,30000000,N,VENTURE
L059,26,10.65,35000000,N,EDUCATION
L093,24,10.65,25000000,N,EDUCATION
L021,25,10.65,35000000,N,PERSONAL
L024,22,10.65,35000000,N,MEDICAL
L119,22,10.65,2000000,N,EDUCATION
L080,22,10.65,9250000,N,PERSONAL
L033,23,10.65,6400000,N,MEDICAL
L018,22,10.65,20000000,N,VENTURE
L047,23,10.65,20000000,N,MEDICAL
L148,26,10.65,3825000,N,DEBTCONSOLIDATION
L075,25,10.65,1000000,N,EDUCATION
L142,21,10.65,18000000,N,EDUCATION
L064,23,10.65,18000000,N,DEBTCONSOLIDATION
L132,22,10.65,17000000,N,DEBTCONSOLIDATION
L135,22,10.62,16000000,N,VENTURE
L141,23,10.62,25000000,N,VENTURE
L128,24,10.62,25000000,N,MEDICAL
L040,25,10.62,25000000,N,MEDICAL
L029,23,10.62,24250000,N,EDUCATION
L129,21,10.62,6250000,N,VENTURE
L032,24,10.62,20000000,N,EDUCATION
L080,23,10.62,19000000,N,EDUCATION
L149,24,10.62,19000000,N,HOMEIMPROVEMENT
L049,24,10.62,18000000,N,EDUCATION
L108,24,10.62,17600000,N,HOMEIMPROVEMENT
L001,24,10.62,17500000,N,MEDICAL
L146,25,10.59,9000000,N,VENTURE
L056,21,10.59,1500000,N,EDUCATION
L024,23,10.59,22000000,N,DEBTCONSOLIDATION
L107,22,10.59,2400000,N,VENTURE
L052,22,10.59,2500000,N,EDUCATION
L053,21,10.39,6000000,N,VENTURE
L011,26,10.38,10000000,N,HOMEIMPROVEMENT
L015,25,10.38,12000000,N,VENTURE
L005,24,10.38,20000000,N,VENTURE
L033,25,10.38,20000000,N,PERSONAL
L149,24,10.38,20000000,N,PERSONAL
L122,24,10.38,7000000,N,DEBTCONSOLIDATION
L030,22,10.38,18750000,N,DEBTCONSOLIDATION
L122,24,10.38,17000000,N,DEBTCONSOLIDATION
L108,22,10.37,35000000,N,VENTURE
L025,24,10.37,25000000,N,DEBTCONSOLIDATION
L010,24,10.37,20000000,N,PERSONAL
L057,24,10.37,24000000,N,MEDICAL
L065,23,10.37,20000000,N,MEDICAL
L060,23,10.37,20000000,N,MEDICAL
L134,23,10.37,20000000,N,MEDICAL
L090,24,10.37,17400000,N,DEBTCONSOLIDATION
L088,23,10.37,17000000,N,EDUCATION
L144,22,10.36,25000000,N,VENTURE
L087,23,10.36,25000000,N,MEDICAL
L130,25,10.36,25000000,N,DEBTCONSOLIDATION
L025,24,10.36,25000000,N,PERSONAL
L129,23,10.36,25000000,N,EDUCATION
L145,26,10.36,1000000,N,HOMEIMPROVEMENT
L148,23,10.25,25000000,N,PERSONAL
L019,24,10.25,25000000,N,EDUCATION
L043,25,10.25,10000000,N,VENTURE
L032,24,10.25,25000000,N,VENTURE
L056,24,10.25,24000000,N,MEDICAL
L083,23,10.25,22000000,N,DEBTCONSOLIDATION
L048,22,10.25,21250000,N,MEDICAL
L057,23,10.25,20400000,N,EDUCATION
L096,23,10.25,20000000,N,PERSONAL
L075,26,10.25,20000000,N,DEBTCONSOLIDATION
L081,25,10.25,20000000,N,DEBTCONSOLIDATION
L100,22,10.25,18250000,N,VENTURE
L043,23,10.25,18250000,N,MEDICAL
L080,25,10.25,18000000,N,EDUCATION
L057,23,10.25,17000000,N,PERSONAL
L072,26,10.08,25000000,N,VENTURE
L080,26,10.08,20000000,N,HOMEIMPROVEMENT
L022,22,10,21000000,N,EDUCATION
L130,22,10,4800000,N,DEBTCONSOLIDATION
L132,24,9.99,32500000,N,HOMEIMPROVEMENT
L010,23,9.99,25000000,N,EDUCATION
L110,25,9.99,25000000,N,EDUCATION
L087,24,9.99,21500000,N,HOMEIMPROVEMENT
L074,25,9.99,20000000,N,HOMEIMPROVEMENT
L117,26,9.99,20000000,N,HOMEIMPROVEMENT
L090,22,9.99,18400000,N,DEBTCONSOLIDATION
L091,23,9.99,17000000,N,DEBTCONSOLIDATION
L070,22,9.96,3000000,N,DEBTCONSOLIDATION
L041,22,9.91,28000000,N,VENTURE
L072,24,9.91,3650000,N,HOMEIMPROVEMENT
L098,24,9.91,25000000,N,EDUCATION
L144,22,9.91,24000000,N,EDUCATION
L135,25,9.91,23000000,N,EDUCATION
L049,25,9.91,3000000,N,EDUCATION
L049,22,9.91,21000000,N,EDUCATION
L003,22,9.91,20000000,N,EDUCATION
L140,22,9.91,8000000,N,MEDICAL
L034,25,9.91,18200000,N,PERSONAL
L148,23,9.91,18000000,N,VENTURE
L044,23,9.91,17475000,N,EDUCATION
L032,21,9.91,17475000,N,DEBTCONSOLIDATION
L076,25,9.88,20000000,N,VENTURE
L020,24,9.88,18000000,N,HOMEIMPROVEMENT
L069,23,9.88,18000000,N,EDUCATION
L046,25,9.88,18000000,N,HOMEIMPROVEMENT
L067,23,9.88,17000000,N,MEDICAL
L091,26,9.76,20050000,N,EDUCATION
L066,22,9.76,16600000,N,PERSONAL
L084,26,9.76,8000000,N,PERSONAL
L031,26,9.64,25000000,N,EDUCATION
L101,21,9.64,15000000,N,EDUCATION
L128,26,9.63,12000000,N,VENTURE
L104,23,9.63,4375000,N,VENTURE
L078,25,9.63,12000000,N,PERSONAL
L036,22,9.63,22000000,N,EDUCATION
L046,25,9.63,8500000,N,VENTURE
L082,22,9.63,2400000,N,EDUCATION
L032,23,9.63,5600000,N,EDUCATION
L093,22,9.63,18000000,N,VENTURE
L005,25,9.63,7000000,N,MEDICAL
L092,23,9.62,23000000,N,EDUCATION
L103,26,9.45,20000000,N,DEBTCONSOLIDATION
L039,25,9.33,25000000,N,VENTURE
L016,23,9.33,24750000,N,DEBTCONSOLIDATION
L149,22,9.33,18000000,N,EDUCATION
L147,23,9.32,1400000,N,PERSONAL
L132,26,9.32,3000000,N,EDUCATION
L139,24,9.32,5000000,N,PERSONAL
L101,23,9.25,1400000,N,EDUCATION
L023,24,9.25,22000000,N,EDUCATION
L076,25,9.25,20000000,N,MEDICAL
L133,23,9.25,18000000,N,EDUCATION
